,Day,Platform,Campaign Name,Campaign Type,Impressions,Clicks,Conversions,Revenue,Spend,Region,AdCreative,CTR,CPA,CPC,CPM
34,01/01/23,TikTok,TikTok-Retargeting,Retargeting,81736,2299,50,"£1,764.13££",£5919.09,South East,CreativeA,0.028127141039444064,£118.38,£2.57,£72.42
35,01/01/23,YouTube,YouTube-Prospecting,Prospecting,77773,229,25,"£1,027.64££",£2217.59,Northern Ireland,CreativeC,0.002944466588661875,£88.70,£9.68,£28.51
36,01/01/23,TikTok,TikTok-Retargeting,Retargeting,26503,700,69,"£11,503.58££",£2906.22,London,CreativeC,0.026412104290080368,£42.12,£4.15,£109.66
37,01/01/23,YouTube,YouTube-Prospecting,Prospecting,32771,3086,50,"£9,838.18££",£1478.44,North West,CreativeC,0.0941686246986665,£29.57,£0.48,£45.11
38,01/01/23,Facebook,Facebook-Prospecting,Prospecting,42040,1337,182,"£3,581.44££",£4749.8,Northern Ireland,CreativeB,0.03180304471931494,£26.10,£3.55,£112.98
39,01/01/23,Instagram,Instagram-Retargeting,Retargeting,67654,983,10,"£10,136.35££",£4130.9,London,CreativeB,0.014529813462618618,£413.09,£4.20,£61.06
40,01/01/23,SnapChat,SnapChat-Retargeting,Retargeting,61485,3414,12,"£13,075.18££",£700.44,North West,CreativeA,0.05552573798487436,£58.37,£0.21,£11.39
41,01/01/23,Facebook,Facebook-Retargeting,Retargeting,47790,784,244,"£3,820.08££",£4844.53,North West,CreativeB,0.016405105670642395,£19.85,£6.18,£101.37
42,01/01/23,SnapChat,SnapChat-Retargeting,Retargeting,76036,3261,60,"£7,170.67££",£450.84,East of England,CreativeA,0.042887579567573254,£7.51,£0.14,£5.93
43,01/01/23,Instagram,Instagram-Prospecting,Prospecting,74172,7,176,"£8,330.09££",£1360.11,Wales,CreativeC,9.437523593808984e-05,£7.73,£194.30,£18.34
44,01/01/23,Instagram,Instagram-Retargeting,Retargeting,97621,2251,144,"£15,016.17££",£1696.61,North East,CreativeA,0.023058563218979523,£11.78,£0.75,£17.38
45,01/01/23,Facebook,Facebook-Prospecting,Prospecting,58314,198,230,"£12,887.81££",£5702.38,North West,CreativeB,0.0033954110505196007,£24.79,£28.80,£97.79
46,01/01/23,Instagram,Instagram-Prospecting,Prospecting,25283,666,220,"£7,799.74££",£4282.89,East of England,CreativeA,0.026341810702843808,£19.47,£6.43,£169.40
47,01/01/23,YouTube,YouTube-Retargeting,Retargeting,15695,1694,22,"£8,830.21££",£2628.42,Yorkshire and the Humber,CreativeA,0.10793246256769672,£119.47,£1.55,£167.47
48,01/01/23,Instagram,Instagram-Prospecting,Prospecting,65353,1649,45,"£8,045.54££",£350.22,London,CreativeA,0.025232200511070647,£7.78,£0.21,£5.36
49,01/01/23,SnapChat,SnapChat-Retargeting,Retargeting,23961,3159,19,"£3,166.46££",£552.2,Northern Ireland,CreativeB,0.13183923876298986,£29.06,£0.17,£23.05
50,01/01/23,SnapChat,SnapChat-Retargeting,Retargeting,2643,481,46,"£3,348.94££",£707.24,East Midlands,CreativeC,0.18199016269390844,£15.37,£1.47,£267.59
51,01/01/23,SnapChat,SnapChat-Prospecting,Prospecting,32260,1472,44,"£7,839.05££",£1063.61,Scotland,CreativeA,0.04562926224426534,£24.17,£0.72,£32.97
52,01/01/23,SnapChat,SnapChat-Prospecting,Prospecting,75703,1785,29,"£12,523.99££",£2863.64,Wales,CreativeA,0.023578986301731768,£98.75,£1.60,£37.83
53,01/01/23,YouTube,YouTube-Prospecting,Prospecting,9862,3355,65,"£10,586.36££",£4036.88,West Midlands,CreativeA,0.3401946866761306,£62.11,£1.20,£409.34
54,01/01/23,TikTok,TikTok-Retargeting,Retargeting,61438,622,71,£795.53££,£3826.54,Scotland,CreativeC,0.010124027474852698,£53.89,£6.15,£62.28
55,01/01/23,Facebook,Facebook-Retargeting,Retargeting,9944,1078,14,"£4,499.37££",£3386.48,East of England,CreativeB,0.1084070796460177,£241.89,£3.14,£340.56
56,01/01/23,SnapChat,SnapChat-Prospecting,Prospecting,38519,2697,35,"£12,197.37££",£5783.88,Scotland,CreativeB,0.07001739401334406,£165.25,£2.14,£150.16
57,01/01/23,Instagram,Instagram-Retargeting,Retargeting,41575,334,24,"£11,678.93££",£6329.14,North West,CreativeB,0.008033674082982561,£263.71,£18.95,£152.23
58,01/01/23,SnapChat,SnapChat-Retargeting,Retargeting,32914,1030,88,"£6,272.28££",£3431.05,North East,CreativeC,0.03129367442425716,£38.99,£3.33,£104.24
59,01/01/23,Instagram,Instagram-Prospecting,Prospecting,15052,2396,216,"£12,852.58££",£2931.58,East Midlands,CreativeC,0.15918150411905393,£13.57,£1.22,£194.76
60,01/01/23,Instagram,Instagram-Retargeting,Retargeting,60779,1376,137,"£2,738.51££",£416.91,Wales,CreativeB,0.022639398476447456,£3.04,£0.30,£6.86
61,02/01/23,Instagram,Instagram-Prospecting,Prospecting,3056,158,252,"£15,021.77££",£1102.01,North East,CreativeB,0.05170157068062827,£4.37,£6.97,£360.61
62,02/01/23,Facebook,Facebook-Prospecting,Prospecting,40491,198,233,"£14,308.31££",£2187.76,North East,CreativeA,0.004889975550122249,£9.39,£11.05,£54.03
63,02/01/23,TikTok,TikTok-Retargeting,Retargeting,51173,2223,47,"£4,549.58££",£3967.9,Northern Ireland,CreativeB,0.04344087702499365,£84.42,£1.78,£77.54
64,02/01/23,TikTok,TikTok-Retargeting,Retargeting,49911,252,74,"£1,431.33££",£1193.59,South West,CreativeA,0.005048987197211035,£16.13,£4.74,£23.91
65,02/01/23,Facebook,Facebook-Retargeting,Retargeting,79854,1531,73,"£13,517.68££",£5746.31,Wales,CreativeA,0.01917248979387382,£78.72,£3.75,£71.96
66,02/01/23,YouTube,YouTube-Retargeting,Retargeting,80086,310,13,"£9,628.96££",£2419.42,South East,CreativeC,0.003870838848238144,£186.11,£7.80,£30.21
67,02/01/23,Facebook,Facebook-Retargeting,Retargeting,4939,1410,105,"£6,352.28££",£1037.82,South West,CreativeA,0.28548289127353715,£9.88,£0.74,£210.13
68,02/01/23,Instagram,Instagram-Retargeting,Retargeting,25424,2045,204,"£4,275.10££",£2275.87,West Midlands,CreativeC,0.08043580868470736,£11.16,£1.11,£89.52
69,02/01/23,Facebook,Facebook-Prospecting,Prospecting,49625,1465,112,"£1,150.02££",£3046.74,Yorkshire and the Humber,CreativeB,0.029521410579345087,£27.20,£2.08,£61.40
70,02/01/23,TikTok,TikTok-Retargeting,Retargeting,4444,704,56,"£6,616.90££",£2031.12,Yorkshire and the Humber,CreativeC,0.15841584158415842,£36.27,£2.89,£457.05
71,02/01/23,Facebook,Facebook-Prospecting,Prospecting,49466,1711,57,"£10,827.75££",£204.97,East Midlands,CreativeC,0.03458941495168399,£3.60,£0.12,£4.14
72,02/01/23,YouTube,YouTube-Prospecting,Prospecting,2471,423,32,"£5,480.08££",£6536.87,North East,CreativeA,0.17118575475515985,£204.28,£15.45,£2645.44
73,02/01/23,SnapChat,SnapChat-Retargeting,Retargeting,63971,1831,194,"£7,871.46££",£2912.2,West Midlands,CreativeA,0.028622344499851494,£15.01,£1.59,£45.52
74,02/01/23,Facebook,Facebook-Prospecting,Prospecting,14177,1676,30,"£8,471.25££",£1327.82,East of England,CreativeB,0.11821965154828243,£44.26,£0.79,£93.66
75,02/01/23,YouTube,YouTube-Retargeting,Retargeting,73587,3668,178,"£1,800.65££",£7242.62,South West,CreativeC,0.04984576080014133,£40.69,£1.97,£98.42
76,02/01/23,YouTube,YouTube-Prospecting,Prospecting,65305,3418,135,"£3,271.06££",£803.15,Northern Ireland,CreativeA,0.052339024576984916,£5.95,£0.23,£12.30
77,02/01/23,TikTok,TikTok-Retargeting,Retargeting,7600,2499,140,"£8,630.53££",£3544.01,East of England,CreativeA,0.32881578947368423,£25.31,£1.42,£466.32
78,02/01/23,YouTube,YouTube-Prospecting,Prospecting,94193,370,58,"£2,018.80££",£2190.99,London,CreativeA,0.0039281050608856284,£37.78,£5.92,£23.26
79,02/01/23,YouTube,YouTube-Retargeting,Retargeting,96335,584,11,"£10,469.33££",£6163.44,West Midlands,CreativeC,0.00606217885503711,£560.31,£10.55,£63.98
80,02/01/23,YouTube,YouTube-Prospecting,Prospecting,68928,3273,85,"£4,655.12££",£3312.21,East Midlands,CreativeA,0.04748433147632312,£38.97,£1.01,£48.05
81,02/01/23,YouTube,YouTube-Retargeting,Retargeting,16729,2162,30,"£5,637.39££",£140.36,East Midlands,CreativeA,0.12923665491063424,£4.68,£0.06,£8.39
82,02/01/23,Instagram,Instagram-Prospecting,Prospecting,41693,2400,39,"£1,726.47££",£2229.22,Scotland,CreativeC,0.05756361979229127,£57.16,£0.93,£53.47
83,02/01/23,Instagram,Instagram-Prospecting,Prospecting,66156,2375,11,"£6,002.89££",£3068.78,South East,CreativeA,0.035899993953685226,£278.98,£1.29,£46.39
84,02/01/23,TikTok,TikTok-Prospecting,Prospecting,86621,2605,15,"£9,687.31££",£473.6,South West,CreativeA,0.030073538749264037,£31.57,£0.18,£5.47
85,02/01/23,Facebook,Facebook-Retargeting,Retargeting,30269,1250,8,"£3,881.77££",£2598.79,Scotland,CreativeC,0.04129637583005715,£324.85,£2.08,£85.86
86,02/01/23,YouTube,YouTube-Retargeting,Retargeting,76431,2369,13,"£4,893.40££",£227.98,Scotland,CreativeC,0.030995276785597468,£17.54,£0.10,£2.98
87,02/01/23,Facebook,Facebook-Retargeting,Retargeting,14604,82,10,"£11,433.87££",£3405.96,Wales,CreativeB,0.005614900027389756,£340.60,£41.54,£233.22
88,02/01/23,Facebook,Facebook-Retargeting,Retargeting,55956,110,34,"£4,137.90££",£3508.86,Northern Ireland,CreativeC,0.001965830295231968,£103.20,£31.90,£62.71
89,02/01/23,TikTok,TikTok-Retargeting,Retargeting,12370,461,27,"£11,343.88££",£3449.2,North West,CreativeA,0.03726758286176233,£127.75,£7.48,£278.84
90,02/01/23,YouTube,YouTube-Prospecting,Prospecting,68085,2902,54,"£4,580.35££",£1394.61,South West,CreativeA,0.04262319159873687,£25.83,£0.48,£20.48
91,02/01/23,YouTube,YouTube-Retargeting,Retargeting,81621,3961,14,"£9,553.37££",£1537.04,West Midlands,CreativeC,0.04852917754009385,£109.79,£0.39,£18.83
92,02/01/23,SnapChat,SnapChat-Retargeting,Retargeting,50014,3047,42,"£5,785.82££",£1126.85,North West,CreativeC,0.06092294157635862,£26.83,£0.37,£22.53
93,02/01/23,Facebook,Facebook-Prospecting,Prospecting,17476,1488,209,"£9,017.86££",£3433.37,Northern Ireland,CreativeC,0.08514534218356604,£16.43,£2.31,£196.46
94,02/01/23,Facebook,Facebook-Retargeting,Retargeting,65018,45,39,"£4,765.73££",£928.53,Wales,CreativeB,0.0006921160294072411,£23.81,£20.63,£14.28
95,02/01/23,Instagram,Instagram-Retargeting,Retargeting,43667,2059,76,"£2,229.87££",£2245.23,East Midlands,CreativeB,0.04715231181441363,£29.54,£1.09,£51.42
96,02/01/23,SnapChat,SnapChat-Retargeting,Retargeting,3882,2423,42,"£10,879.94££",£5222.2,East Midlands,CreativeC,0.6241628026790315,£124.34,£2.16,£1345.23
97,02/01/23,Instagram,Instagram-Retargeting,Retargeting,52940,922,162,"£15,128.79££",£1018.15,London,CreativeA,0.0174159425765017,£6.28,£1.10,£19.23
98,02/01/23,Instagram,Instagram-Retargeting,Retargeting,68777,1584,266,"£13,192.16££",£2920.16,North West,CreativeA,0.023030955115809063,£10.98,£1.84,£42.46
99,02/01/23,Instagram,Instagram-Retargeting,Retargeting,33518,2203,46,"£7,323.49££",£4626.94,North West,CreativeB,0.06572587863237664,£100.59,£2.10,£138.04
100,02/01/23,TikTok,TikTok-Prospecting,Prospecting,8416,2678,56,"£3,968.02££",£1694.06,Yorkshire and the Humber,CreativeC,0.31820342205323193,£30.25,£0.63,£201.29
101,02/01/23,TikTok,TikTok-Retargeting,Retargeting,69782,188,54,"£4,474.92££",£1732.03,East Midlands,CreativeC,0.002694104496861655,£32.07,£9.21,£24.82
102,02/01/23,Instagram,Instagram-Retargeting,Retargeting,52751,1511,34,"£15,869.24££",£4911.61,West Midlands,CreativeA,0.02864400674868723,£144.46,£3.25,£93.11
103,02/01/23,SnapChat,SnapChat-Retargeting,Retargeting,26344,185,8,"£13,426.22££",£6869.57,North East,CreativeC,0.007022471910112359,£858.70,£37.13,£260.76
104,02/01/23,Facebook,Facebook-Prospecting,Prospecting,22855,820,125,"£6,480.98££",£5150.13,North East,CreativeA,0.03587836359658718,£41.20,£6.28,£225.34
105,02/01/23,SnapChat,SnapChat-Prospecting,Prospecting,62819,469,143,"£2,630.98££",£600.75,South West,CreativeA,0.007465894076632866,£4.20,£1.28,£9.56
106,02/01/23,YouTube,YouTube-Prospecting,Prospecting,20318,806,78,"£8,615.05££",£6369.38,North East,CreativeB,0.039669258785313515,£81.66,£7.90,£313.48
107,02/01/23,TikTok,TikTok-Prospecting,Prospecting,17726,1787,60,"£1,120.30££",£1280.75,South East,CreativeB,0.10081236601602166,£21.35,£0.72,£72.25
108,02/01/23,Facebook,Facebook-Retargeting,Retargeting,65363,157,122,"£8,604.70££",£1531.31,East of England,CreativeA,0.0024019705337882287,£12.55,£9.75,£23.43
109,02/01/23,Facebook,Facebook-Prospecting,Prospecting,30477,1711,49,"£2,828.40££",£3688.36,South West,CreativeC,0.05614069626275552,£75.27,£2.16,£121.02
110,02/01/23,YouTube,YouTube-Retargeting,Retargeting,87248,2827,187,"£3,659.81££",£4340.51,North West,CreativeA,0.032401888868512745,£23.21,£1.54,£49.75
111,02/01/23,YouTube,YouTube-Retargeting,Retargeting,86036,1776,161,"£9,437.75££",£2632.14,Northern Ireland,CreativeB,0.020642521735087637,£16.35,£1.48,£30.59
112,02/01/23,Instagram,Instagram-Retargeting,Retargeting,5696,1348,224,"£13,538.66££",£605.04,North East,CreativeA,0.23665730337078653,£2.70,£0.45,£106.22
113,02/01/23,TikTok,TikTok-Prospecting,Prospecting,58860,199,69,"£3,711.66££",£7128.18,Yorkshire and the Humber,CreativeA,0.003380903839619436,£103.31,£35.82,£121.10
114,02/01/23,TikTok,TikTok-Retargeting,Retargeting,80770,40,26,"£6,255.10££",£1705.83,South West,CreativeA,0.0004952333787297264,£65.61,£42.65,£21.12
115,02/01/23,SnapChat,SnapChat-Prospecting,Prospecting,5973,326,46,"£9,000.24££",£4364.98,North West,CreativeB,0.05457893855683911,£94.89,£13.39,£730.79
116,02/01/23,Instagram,Instagram-Retargeting,Retargeting,102445,1309,232,"£11,776.93££",£3014.94,Scotland,CreativeB,0.012777587974034848,£13.00,£2.30,£29.43
117,02/01/23,Instagram,Instagram-Prospecting,Prospecting,35912,1958,119,"£13,700.63££",£1262.23,North West,CreativeA,0.054522165292938296,£10.61,£0.64,£35.15
118,02/01/23,Instagram,Instagram-Prospecting,Prospecting,73693,161,49,"£9,348.81££",£1093.03,East Midlands,CreativeC,0.002184739391801121,£22.31,£6.79,£14.83
119,02/01/23,Instagram,Instagram-Retargeting,Retargeting,11956,2393,190,"£3,869.86££",£3397.56,North East,CreativeB,0.20015055202408832,£17.88,£1.42,£284.17
120,02/01/23,TikTok,TikTok-Retargeting,Retargeting,79165,2989,32,"£5,358.19££",£4322.14,North West,CreativeC,0.037756584349144195,£135.07,£1.45,£54.60
121,03/01/23,TikTok,TikTok-Retargeting,Retargeting,24622,95,62,"£12,570.22££",£4292.32,South East,CreativeA,0.003858338071643246,£69.23,£45.18,£174.33
122,03/01/23,YouTube,YouTube-Retargeting,Retargeting,9769,1776,202,"£10,145.63££",£8770.62,Scotland,CreativeB,0.1817995700685843,£43.42,£4.94,£897.80
123,03/01/23,YouTube,YouTube-Retargeting,Retargeting,74795,576,132,"£1,813.63££",£3694.08,West Midlands,CreativeB,0.007701049535396751,£27.99,£6.41,£49.39
124,03/01/23,Instagram,Instagram-Prospecting,Prospecting,115518,1843,120,"£2,482.61££",£3658.01,North West,CreativeC,0.015954223584203328,£30.48,£1.98,£31.67
125,03/01/23,TikTok,TikTok-Prospecting,Prospecting,67255,943,26,"£11,873.86££",£4322.98,North West,CreativeB,0.01402126235967586,£166.27,£4.58,£64.28
126,03/01/23,TikTok,TikTok-Retargeting,Retargeting,16457,596,221,"£2,310.47££",£4399.47,London,CreativeA,0.036215592149237405,£19.91,£7.38,£267.33
127,03/01/23,SnapChat,SnapChat-Prospecting,Prospecting,25616,2475,58,"£10,186.85££",£3972.74,Northern Ireland,CreativeC,0.09661930043722673,£68.50,£1.61,£155.09
128,03/01/23,YouTube,YouTube-Prospecting,Prospecting,48361,2453,167,"£9,406.30££",£898.51,North West,CreativeA,0.05072268977068299,£5.38,£0.37,£18.58
129,03/01/23,Facebook,Facebook-Retargeting,Retargeting,37444,65,168,"£6,986.28££",£1397.66,Yorkshire and the Humber,CreativeB,0.0017359256489691273,£8.32,£21.50,£37.33
130,03/01/23,YouTube,YouTube-Retargeting,Retargeting,32347,2088,48,"£6,394.21££",£729.86,West Midlands,CreativeA,0.06455003555198319,£15.21,£0.35,£22.56
131,03/01/23,YouTube,YouTube-Prospecting,Prospecting,9986,3163,43,"£2,565.07££",£372.17,East of England,CreativeA,0.316743440817144,£8.66,£0.12,£37.27
132,03/01/23,SnapChat,SnapChat-Prospecting,Prospecting,3373,1274,17,"£10,210.33££",£1125.78,Yorkshire and the Humber,CreativeA,0.37770530684850284,£66.22,£0.88,£333.76
133,03/01/23,Facebook,Facebook-Retargeting,Retargeting,35023,146,29,"£3,338.73££",£3841.36,Northern Ireland,CreativeC,0.0041686891471318845,£132.46,£26.31,£109.68
134,03/01/23,SnapChat,SnapChat-Retargeting,Retargeting,107019,2694,31,"£6,128.69££",£5135.15,West Midlands,CreativeB,0.0251731001037199,£165.65,£1.91,£47.98
135,03/01/23,Facebook,Facebook-Prospecting,Prospecting,46971,396,53,"£7,300.18££",£7081.61,Yorkshire and the Humber,CreativeA,0.00843073385706074,£133.62,£17.88,£150.77
136,03/01/23,Instagram,Instagram-Retargeting,Retargeting,102550,1346,45,"£12,478.71££",£6939.38,East of England,CreativeA,0.013125304729400293,£154.21,£5.16,£67.67
137,03/01/23,Facebook,Facebook-Retargeting,Retargeting,45690,36,156,"£12,929.69££",£4789.54,East of England,CreativeC,0.0007879185817465528,£30.70,£133.04,£104.83
138,03/01/23,SnapChat,SnapChat-Retargeting,Retargeting,66035,165,24,"£10,353.62££",£7137.18,London,CreativeB,0.0024986749451048687,£297.38,£43.26,£108.08
139,03/01/23,YouTube,YouTube-Prospecting,Prospecting,95964,3697,196,"£2,203.47££",£5476.41,East of England,CreativeB,0.0385248634904756,£27.94,£1.48,£57.07
140,03/01/23,Facebook,Facebook-Prospecting,Prospecting,16564,1366,166,"£5,388.93££",£2300.1,North West,CreativeC,0.08246800289785076,£13.86,£1.68,£138.86
141,03/01/23,Facebook,Facebook-Retargeting,Retargeting,20083,479,57,"£11,793.40££",£4067.05,South East,CreativeC,0.023851018274162226,£71.35,£8.49,£202.51
142,03/01/23,TikTok,TikTok-Prospecting,Prospecting,86911,369,63,"£1,877.83££",£7955.23,London,CreativeC,0.004245722635799841,£126.27,£21.56,£91.53
143,03/01/23,YouTube,YouTube-Retargeting,Retargeting,77456,326,209,"£5,356.08££",£7151.55,Northern Ireland,CreativeA,0.004208841148523032,£34.22,£21.94,£92.33
144,03/01/23,Instagram,Instagram-Prospecting,Prospecting,51750,2456,11,"£13,231.16££",£6089.64,North East,CreativeB,0.04745893719806763,£553.60,£2.48,£117.67
145,03/01/23,SnapChat,SnapChat-Prospecting,Prospecting,65837,79,13,"£5,331.22££",£5381.7,West Midlands,CreativeA,0.001199933168279235,£413.98,£68.12,£81.74
146,03/01/23,Instagram,Instagram-Prospecting,Prospecting,97151,879,91,"£1,971.46££",£5388.09,West Midlands,CreativeC,0.009047770995666539,£59.21,£6.13,£55.46
147,03/01/23,YouTube,YouTube-Retargeting,Retargeting,38326,101,141,"£3,817.90££",£3050.57,East of England,CreativeB,0.002635286750508793,£21.64,£30.20,£79.60
148,03/01/23,Facebook,Facebook-Retargeting,Retargeting,79381,844,36,"£12,928.59££",£3754.3,London,CreativeA,0.010632267167206258,£104.29,£4.45,£47.29
149,03/01/23,Facebook,Facebook-Retargeting,Retargeting,37229,668,117,"£1,975.32££",£1342.52,North West,CreativeB,0.01794300142362137,£11.47,£2.01,£36.06
150,03/01/23,YouTube,YouTube-Prospecting,Prospecting,55070,863,133,"£6,178.14££",£3162.57,South East,CreativeB,0.015670964227347012,£23.78,£3.66,£57.43
151,03/01/23,Facebook,Facebook-Retargeting,Retargeting,20879,515,49,"£1,658.44££",£3050.19,Northern Ireland,CreativeB,0.02466593227645002,£62.25,£5.92,£146.09
152,03/01/23,Facebook,Facebook-Retargeting,Retargeting,27205,44,33,"£5,935.38££",£3868.94,Northern Ireland,CreativeA,0.0016173497518838448,£117.24,£87.93,£142.21
153,03/01/23,Facebook,Facebook-Retargeting,Retargeting,20648,328,59,"£9,853.55££",£2228.98,Yorkshire and the Humber,CreativeB,0.01588531576908175,£37.78,£6.80,£107.95
154,03/01/23,SnapChat,SnapChat-Retargeting,Retargeting,98175,215,67,"£13,721.46££",£5546.17,East of England,CreativeB,0.0021899668958492487,£82.78,£25.80,£56.49
155,03/01/23,SnapChat,SnapChat-Prospecting,Prospecting,108783,1854,16,"£10,338.72££",£2649.59,West Midlands,CreativeA,0.017043104161495824,£165.60,£1.43,£24.36
156,03/01/23,TikTok,TikTok-Retargeting,Retargeting,88712,958,177,"£12,758.16££",£126.91,London,CreativeB,0.01079898999008026,£0.72,£0.13,£1.43
